# {"t_start": 1554709372.327473, "env_id": "HalfCheetah-v2"} 
r,l,t
678.655107,1000,429.213532
707.858832,1000,430.275687
619.694964,1000,431.397804
719.084402,1000,432.595091
694.450383,1000,433.709238
699.3738,1000,434.781365
721.020375,1000,435.823768
624.930493,1000,436.915702
680.36522,1000,438.004629
728.257592,1000,439.09624
781.046259,1000,440.196689
669.628398,1000,441.279767
691.51198,1000,442.342114
651.424918,1000,443.378145
716.47921,1000,444.413813
717.594464,1000,445.470646
766.966085,1000,446.551854
678.919636,1000,447.606675
781.693442,1000,448.698753
727.208855,1000,449.784425
685.408053,1000,450.870838
745.004135,1000,451.97772
772.002251,1000,453.03738
693.466676,1000,454.088066
705.923536,1000,455.142771
756.132612,1000,456.207916
679.374746,1000,457.301252
749.980489,1000,458.415469
700.937445,1000,459.486065
739.234933,1000,460.410259
694.160256,1000,461.463438
743.9826,1000,462.515652
801.858433,1000,463.599885
741.395652,1000,464.713292
752.840679,1000,465.847364
715.996066,1000,467.028137
659.274159,1000,468.195862
756.296606,1000,469.297569
730.918358,1000,470.413007
701.557504,1000,471.509319
762.070924,1000,472.625273
726.150583,1000,473.757557
711.270171,1000,474.882957
736.300327,1000,475.972621
722.033017,1000,477.069492
737.188263,1000,478.144088
684.854499,1000,479.271154
752.994768,1000,480.380507
723.883071,1000,481.474874
803.266969,1000,482.572234
753.435506,1000,483.724152
796.646938,1000,484.798041
604.259189,1000,485.84944
735.827674,1000,486.938216
771.240848,1000,488.031664
726.424032,1000,489.117353
730.324659,1000,490.190301
722.850944,1000,491.253626
847.555297,1000,492.351604
716.228652,1000,493.428662
721.142407,1000,494.506363
762.028421,1000,495.556321
842.633784,1000,496.638871
759.625142,1000,497.77023
755.424418,1000,498.859462
803.980035,1000,499.931387
763.563945,1000,501.010614
737.069533,1000,502.127055
794.988913,1000,503.178706
800.826556,1000,504.23979
752.22251,1000,505.272299
764.94465,1000,506.327799
800.392367,1000,507.264283
806.891492,1000,508.325157
785.32425,1000,509.410047
785.187487,1000,510.50124
780.330983,1000,511.540278
813.423773,1000,512.630116
702.629693,1000,513.696152
736.14596,1000,514.725333
663.430444,1000,515.782679
774.492883,1000,516.840133
834.930286,1000,517.948109
714.665454,1000,519.035903
858.793539,1000,520.144452
813.136814,1000,521.203656
805.31063,1000,522.261626
766.994292,1000,523.396857
748.501658,1000,524.530834
800.18341,1000,525.638543
760.53699,1000,526.732054
786.577335,1000,527.776878
793.744976,1000,528.850336
784.531683,1000,529.90225
810.632986,1000,530.977955
788.39014,1000,532.088771
899.604692,1000,533.170684
770.631809,1000,534.244222
784.537081,1000,535.302214
732.595593,1000,536.349726
806.63292,1000,537.424032
856.497654,1000,538.502243
734.017614,1000,539.609158
792.143449,1000,540.680925
859.140027,1000,541.745371
823.091611,1000,542.861492
775.366171,1000,543.967953
531.868866,1000,545.06764
802.609107,1000,546.147164
801.354063,1000,547.229562
760.473739,1000,548.347089
671.29582,1000,549.415678
829.935413,1000,550.515569
774.275245,1000,551.597505
823.418267,1000,552.534431
813.381665,1000,553.593049
710.846066,1000,554.665263
841.098983,1000,555.74664
847.594904,1000,556.830678
764.339843,1000,557.949853
799.683673,1000,559.015482
813.282143,1000,560.068798
821.888259,1000,561.138697
835.132766,1000,562.260487
860.798261,1000,563.37212
783.354187,1000,564.454926
835.306577,1000,565.53331
822.717115,1000,566.57474
815.839353,1000,567.649225
883.387832,1000,568.75526
859.451197,1000,569.840186
809.912397,1000,570.940583
804.019667,1000,572.025833
837.080793,1000,573.072633
811.188198,1000,574.118305
857.68411,1000,575.197434
727.085773,1000,576.271919
885.391598,1000,577.348717
806.678914,1000,578.436814
863.667189,1000,579.538271
857.926919,1000,580.650792
832.815822,1000,581.764777
854.059801,1000,582.873045
843.700906,1000,583.952434
845.386029,1000,585.014867
854.6748,1000,586.10873
934.037867,1000,587.189187
856.567452,1000,588.264272
786.620952,1000,589.367172
877.790624,1000,590.425986
841.427973,1000,591.456868
847.218144,1000,592.547367
912.298102,1000,593.68682
855.20212,1000,594.792297
854.782066,1000,595.872566
950.270097,1000,596.965671
867.809092,1000,598.013442
883.896635,1000,598.938379
882.523193,1000,599.987421
874.369789,1000,601.052383
887.201308,1000,602.10428
815.078415,1000,603.168456
851.040534,1000,604.19463
823.449088,1000,605.295881
763.53142,1000,606.362452
880.98296,1000,607.427046
923.0791,1000,608.525219
876.779182,1000,609.63639
854.718649,1000,610.740923
857.791179,1000,611.813093
856.734744,1000,612.908323
973.842617,1000,614.001947
841.946771,1000,615.065325
824.022942,1000,616.113187
890.245017,1000,617.180603
912.043766,1000,618.333657
794.382699,1000,619.41623
887.501198,1000,620.515389
823.045468,1000,621.577599
924.87,1000,622.666974
909.219215,1000,623.744131
922.417004,1000,624.807118
933.178119,1000,625.860099
869.660375,1000,626.943926
870.186657,1000,628.05217
770.034405,1000,629.052135
919.241807,1000,630.090533
891.405883,1000,631.157984
871.609771,1000,632.241294
954.253094,1000,633.354177
936.982817,1000,634.41937
913.840606,1000,635.528199
861.181451,1000,636.629017
916.532954,1000,637.691053
978.732858,1000,638.74298
947.903352,1000,639.772097
883.951821,1000,640.938927
882.144728,1000,642.110653
955.797714,1000,643.197323
877.662637,1000,644.30602
945.86477,1000,645.24287
861.499946,1000,646.326035
911.087191,1000,647.378995
907.939866,1000,648.494007
943.365242,1000,649.539395
859.283498,1000,650.629818
897.635131,1000,651.716729
871.145767,1000,652.797734
908.853803,1000,653.890802
928.078193,1000,654.98881
913.14859,1000,656.097662
997.848356,1000,657.161425
937.907033,1000,658.211635
944.927081,1000,659.30597
977.667328,1000,660.396994
941.847997,1000,661.454743
910.914982,1000,662.476922
889.362308,1000,663.54024
971.311442,1000,664.581732
974.022203,1000,665.659033
931.917005,1000,666.717976
897.721153,1000,667.809085
1063.307261,1000,668.889491
999.339258,1000,669.904029
973.243775,1000,670.988436
939.245709,1000,672.041161
951.390421,1000,673.10609
970.266085,1000,674.164753
896.492637,1000,675.254505
905.067667,1000,676.300802
893.142441,1000,677.334368
892.568613,1000,678.33001
940.977114,1000,679.327123
999.144487,1000,680.392956
1025.913918,1000,681.435421
