# {"t_start": 1554708228.502428, "env_id": "Hopper-v2"} 
r,l,t
265.202749,118,25.125158
309.167155,134,25.261926
277.317758,135,25.404847
134.903784,70,25.47537
247.999583,119,25.595091
375.230681,165,25.766737
219.622546,103,25.871397
287.753536,137,26.007838
299.039543,132,26.139496
304.336087,131,26.435628
313.566047,140,26.579603
249.532625,117,26.697249
316.323682,135,26.830753
308.209393,127,26.955572
315.022674,134,27.079637
345.293273,162,27.246906
329.439548,141,27.535458
239.897488,115,27.649803
271.689728,120,27.773794
308.067249,135,27.914417
283.018632,122,28.0367
309.847308,140,28.175487
307.969693,135,28.308515
363.037838,154,28.465011
334.319278,139,28.751891
305.720506,136,28.893958
313.53558,135,29.033206
319.223849,130,29.170274
324.653078,139,29.315818
338.679541,157,29.478757
278.272582,122,29.60608
380.450474,176,29.948947
331.119174,140,30.092602
315.557301,132,30.22793
329.87445,152,30.387875
316.132589,141,30.533115
328.970191,134,30.663807
297.492971,126,30.790501
336.729028,147,31.100721
370.295847,150,31.254219
304.185965,131,31.390393
331.993468,136,31.531673
307.913354,126,31.663302
175.401205,89,31.757002
331.203937,149,31.91225
282.297101,125,32.040495
335.069061,141,32.335094
341.927424,147,32.489357
356.721152,149,32.643741
325.872767,138,32.786393
348.334822,144,32.933822
363.12746,148,33.086786
317.182707,143,33.23373
284.933122,137,33.53078
346.966822,151,33.675037
317.49084,131,33.798406
363.964634,149,33.939522
362.231,156,34.08598
334.26609,148,34.232486
251.167013,119,34.353327
350.48378,142,34.498871
315.249416,137,34.790694
356.965744,143,34.936364
328.132084,140,35.077542
314.511543,130,35.210865
371.800445,160,35.375152
349.653381,149,35.524855
341.281379,139,35.662861
370.900802,148,35.954271
326.183205,136,36.087989
378.015645,166,36.252576
354.915237,141,36.393198
336.87395,137,36.528311
326.19713,144,36.671165
341.549522,142,36.815682
331.110772,166,37.131839
371.895736,144,37.274949
357.990509,142,37.414792
354.597016,149,37.562927
349.493626,146,37.703564
341.137264,137,37.840784
370.296017,146,37.981867
352.12797,138,38.261693
361.835321,145,38.410642
383.379174,152,38.561502
364.260121,145,38.696288
360.271846,150,38.845996
333.161128,135,38.979138
365.457383,145,39.118986
379.599384,147,39.400306
249.271995,107,39.511656
359.951084,142,39.647931
357.601527,145,39.79034
309.239798,133,39.924558
356.842855,147,40.063449
344.813922,136,40.198451
341.985041,143,40.481349
375.839794,152,40.626466
364.646897,142,40.766664
366.75669,140,40.901601
341.736147,147,41.043813
365.26889,146,41.188809
347.393201,143,41.328443
371.99887,145,41.610482
364.294372,147,41.750749
370.598865,148,41.899044
357.093024,141,42.041694
378.741501,147,42.191344
334.638106,136,42.330879
352.494917,149,42.485212
358.407061,143,42.632538
423.424402,161,42.951525
411.434797,155,43.107641
384.656137,157,43.261828
370.925922,150,43.411054
393.300543,150,43.55583
391.295165,157,43.70743
390.115105,151,43.974692
380.814736,148,44.111258
363.651353,151,44.262379
361.783636,139,44.404784
400.34059,160,44.568739
363.687636,147,44.714672
382.854147,163,44.873235
399.626312,155,45.161755
480.09509,192,45.354782
356.374555,140,45.495456
387.914425,150,45.645169
378.379029,147,45.785372
310.85076,124,45.904356
481.391008,193,46.235756
407.852896,155,46.392799
345.061781,139,46.536614
381.165958,145,46.682904
408.08528,158,46.832567
352.060753,140,46.969094
409.747877,171,47.138645
377.534295,143,47.418995
382.523786,156,47.578229
375.129663,148,47.725612
369.3987,144,47.862833
191.295168,94,47.951843
291.203009,130,48.075574
380.465769,148,48.231098
372.87659,153,48.390485
406.230899,156,48.704581
373.45057,151,48.857792
372.46523,145,49.001022
392.742654,170,49.174984
384.636192,146,49.326792
392.263818,147,49.47824
392.726468,168,49.802477
348.516716,139,49.94461
471.429943,180,50.133132
446.271583,166,50.306741
380.825414,149,50.465827
384.102507,150,50.623352
352.957496,139,50.768606
402.38514,152,51.079227
410.282845,154,51.240724
320.163895,132,51.381173
390.209995,148,51.538306
371.100957,147,51.689993
369.146132,146,51.839966
405.225665,152,51.992193
373.47219,153,52.279928
362.728488,141,52.422512
405.662906,153,52.576129
386.953865,150,52.728463
410.163432,157,52.883874
416.068316,154,53.035916
416.365038,158,53.198034
484.127665,172,53.511655
361.668408,148,53.668597
353.979658,142,53.815781
423.673486,156,53.978273
372.646606,144,54.125654
405.952624,154,54.287131
366.572589,153,54.596913
403.552085,151,54.754797
429.026414,161,54.918719
407.385363,152,55.069168
415.999875,156,55.228511
524.027178,185,55.418129
392.583329,147,55.561999
432.338128,158,55.853966
408.271314,158,56.015237
393.373352,149,56.162816
397.206021,152,56.317199
412.542146,156,56.46504
568.98726,221,56.67309
409.243778,154,56.973351
426.480272,153,57.131719
321.125707,131,57.268061
426.733191,159,57.434776
544.661585,198,57.63743
453.188287,163,57.803309
324.766943,125,57.930959
402.498949,146,58.228271
429.763815,156,58.384436
470.328427,171,58.564563
435.942992,164,58.733834
407.450461,151,58.889191
420.284676,151,59.044024
401.117859,150,59.347061
443.282987,160,59.501288
592.568787,196,59.692431
552.439335,208,59.901052
506.307371,174,60.075991
430.401156,157,60.236616
612.938915,203,60.586537
474.997294,170,60.757334
402.424668,150,60.906185
658.224341,219,61.128283
479.12888,167,61.297776
333.551367,131,61.431479
523.953528,207,61.78537
478.048368,165,61.944975
462.206335,174,62.115947
612.072982,211,62.333866
424.318492,160,62.499028
585.315283,213,62.869816
652.164642,211,63.089235
666.232821,215,63.313475
667.555324,214,63.529136
383.145906,143,63.666308
614.116558,199,64.000004
592.380392,195,64.194945
458.890047,156,64.356524
842.91437,265,64.625032
483.444617,169,64.799767
616.900185,205,65.017261
629.794593,207,65.364806
629.229531,202,65.562927
412.869864,160,65.721583
648.610266,212,65.936204
623.583864,210,66.149916
671.065346,222,66.506011
663.033321,215,66.713702
487.947434,170,66.876628
565.324397,211,67.07882
666.660273,219,67.286152
614.808868,204,67.616639
796.790279,251,67.857323
589.202414,199,68.043401
297.347066,129,68.166906
674.366587,218,68.361497
598.931131,203,68.683323
644.778157,210,68.882563
738.857741,237,69.10513
689.697972,221,69.319352
440.60876,157,69.46916
521.803639,182,69.778411
649.402861,216,69.989815
614.360768,206,70.195657
